who,numw,file,textdesc,speech,PRS-ID,PERM-RESD,CHILD-RESD,SEX,AGE,DOMAIN,CHANNEL,SUBCORPUS,TYPE
Cf-prij-07151,36,SPOG-Gos257-NZosnmdopr-jg0909141900.xml,"doma, prijatelji",Gos257,Cf-prij-07151,"jugovzhodna Slovenija, osrednjeslovenska",-,ženski,30 do 59 let,"doma, prijatelji",osebni stik,Gos,zasebni
Ef-ssta-06566,115,SPOG-Gos229-NZoskrdodr-ak0904251100.xml,"doma, družina",Gos229,Ef-ssta-06566,gorenjska,-,ženski,nad 60 let,"doma, družina",osebni stik,Gos,zasebni
Lf-otro-06567,313,SPOG-Gos229-NZoskrdodr-ak0904251100.xml,"doma, družina",Gos229,Lf-otro-06567,"gorenjska, osrednjeslovenska",-,ženski,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Dm-prij-06009,183,SPOG-Gos254-NZosmsstdo-jt0907061638.xml,"zunaj doma, prijatelji",Gos254,Dm-prij-06009,pomurska,-,moški,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
If-prij-06008,175,SPOG-Gos254-NZosmsstdo-jt0907061638.xml,"zunaj doma, prijatelji",Gos254,If-prij-06008,pomurska,-,ženski,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Mm-prij-06007,82,SPOG-Gos254-NZosmsstdo-jt0907061638.xml,"zunaj doma, prijatelji",Gos254,Mm-prij-06007,pomurska,-,moški,18 do 34 let,"zunaj doma, prijatelji",osebni stik,Gos,zasebni
Am-mode-05620,323,SPOG-Gos136-JRrajzcajp-rd0907171301.xml,"Capris, jutranji",Gos136,Am-mode-05620,-,-,moški,-,"Capris, jutranji",radio,Gos,razvedrilni
Cm-mode-05621,116,SPOG-Gos136-JRrajzcajp-rd0907171301.xml,"Capris, jutranji",Gos136,Cm-mode-05621,-,-,moški,-,"Capris, jutranji",radio,Gos,razvedrilni
Am-soro-07522,110,SPOG-Gos246-NZosmbdodr-mo0911021528.xml,"doma, družina",Gos246,Am-soro-07522,podravska,-,moški,18 do 34 let,"doma, družina",osebni stik,Gos,zasebni
Mm-star-07523,309,SPOG-Gos246-NZosmbdodr-mo0911021528.xml,"doma, družina",Gos246,Mm-star-07523,podravska,-,moški,30 do 59 let,"doma, družina",osebni stik,Gos,zasebni
