TEXT-ID	SOURCE-ID	RECORDING-ID	SUBCORPUS	PRS-ID	SEX	AGE	1LANG	DIALECT	EDUCATION	PERM-RESD	CHILD-RESD	SENTENCES	WORDS
Rog-Art-N-G5025-P600022	Artur-N-G5025-P600022	Artur-N-G5025-P600022.wav	Artur-N	Artur-N-G5025	ženski	nad 60 let	slovenščina	pogovorni jezik	srednja šola	pomurska	-	25	622
Rog-Art-N-G5026-P600021	Artur-N-G5026-P600021	Artur-N-G5026-P600021.wav	Artur-N	Artur-N-G5026	ženski	nad 60 let	slovenščina	pogovorni jezik	OŠ ali manj	-	pomurska	39	314
Rog-Art-N-G5035-P600034	Artur-N-G5035-P600034	Artur-N-G5035-P600034.wav	Artur-N	Artur-N-G5035	moški	nad 60 let	slovenščina	pogovorni jezik	višja ali visoka šola	podravska	-	29	657
Rog-Art-N-G5036-P600034	Artur-N-G5036-P600034	Artur-N-G5036-P600034.wav	Artur-N	Artur-N-G5036	moški	18 do 34 let	slovenščina	pogovorni jezik	srednja šola	podravska	-	31	407
Rog-Art-N-G5043-P600044	Artur-N-G5043-P600044	Artur-N-G5043-P600044.wav	Artur-N	Artur-N-G5043	moški	nad 60 let	slovenščina	pogovorni jezik	srednja šola	koroška	-	34	365
Rog-Art-N-G5044-P600044	Artur-N-G5044-P600044	Artur-N-G5044-P600044.wav	Artur-N	Artur-N-G5044	moški	nad 60 let	slovenščina	pogovorni jezik	srednja šola	koroška	-	32	465
Rog-Art-N-G5053-P600052	Artur-N-G5053-P600052	Artur-N-G5053-P600052.wav	Artur-N	Artur-N-G5053	moški	18 do 34 let	slovenščina	pogovorni jezik	višja ali visoka šola	podravska	-	53	750
Rog-Art-N-G5054-P600052	Artur-N-G5054-P600052	Artur-N-G5054-P600052.wav	Artur-N	Artur-N-G5054	ženski	18 do 34 let	slovenščina	pogovorni jezik	višja ali visoka šola	podravska	-	56	690
Rog-Art-N-G5082-P600080	Artur-N-G5082-P600080	Artur-N-G5082-P600080.wav	Artur-N	Artur-N-G5082	ženski	30 do 59 let	slovenščina	pogovorni jezik	fakulteta ali več	primorsko-notranjska	-	10	132
Rog-Art-N-G5083-P600080	Artur-N-G5083-P600080	Artur-N-G5083-P600080.wav	Artur-N	Artur-N-G5083	moški	30 do 59 let	slovenščina	pogovorni jezik	višja ali visoka šola	-	osrednjeslovenska	20	793
Rog-Art-N-G5097-P600096	Artur-N-G5097-P600096	Artur-N-G5097-P600096.wav	Artur-N	Artur-N-G5097	ženski	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	gorenjska	38	967
Rog-Art-N-G6001-P600102	Artur-N-G6001-P600102	Artur-N-G6001-P600102.wav	Artur-N	Artur-N-G6001	ženski	18 do 34 let	slovenščina	pogovorni jezik	višja ali visoka šola	-	osrednjeslovenska	27	856
Rog-Art-N-G6007-P600702	Artur-N-G6007-P600702	Artur-N-G6007-P600702.wav	Artur-N	Artur-N-G6007	moški	30 do 59 let	slovenščina	standardni jezik	fakulteta ali več	-	osrednjeslovenska	21	770
Rog-Art-N-G6012-P601201	Artur-N-G6012-P601201	Artur-N-G6012-P601201.wav	Artur-N	Artur-N-G6012	moški	nad 60 let	slovenščina	standardni jezik	fakulteta ali več	-	savinjska	28	961
