TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SPK-IDsUTTS	SEGS	WORDS
Rog-Art-J-Gvecg-P500053	Artur-J	Artur-J-Gvecg-P500053	2020-09	STA	https://youtu.be/SUJevj_4_HQ	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3107	10	629
Rog-Art-J-Gvecg-P500054	Artur-J	Artur-J-Gvecg-P500054	2019-10	STA	https://youtu.be/C_AlXre1vTI	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3110, Artur-J-G3109, Artur-J-G3108	22	613
Rog-Art-J-Gvecg-P500055	Artur-J	Artur-J-Gvecg-P500055	2019-09	STA	https://youtu.be/R8irSGPUJEs	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3111	68	410
Rog-Art-J-Gvecg-P500056	Artur-J	Artur-J-Gvecg-P500056	2021-08	STA	https://youtu.be/_Y7xRQqhm6c	Gornja Radgona	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3113, Artur-J-G3112, Artur-J-G3114	32	554
Rog-Art-J-Gvecg-P500057	Artur-J	Artur-J-Gvecg-P500057	2021-08	STA	https://youtu.be/jW7yx1EWf80	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3105	15	222
Rog-Art-J-Gvecg-P500058	Artur-J	Artur-J-Gvecg-P500058	2021-08	STA	https://youtu.be/EFumetO6UD4	Gornja Radgona	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3115, Artur-J-G3116, Artur-J-G3117	27	620
Rog-Art-J-Gvecg-P500059	Artur-J	Artur-J-Gvecg-P500059	2021-08	STA	-	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3121, Artur-J-G3119, Artur-J-G3120, Artur-J-G3118	54	697
Rog-Art-J-Gvecg-P500060	Artur-J	Artur-J-Gvecg-P500060	2021-08	STA	-	Ljubljana	intervju	informativno-izobraževalni	radio	Artur-J-G3123, Artur-J-G3122	125	379
Rog-Art-J-Gvecg-P500061	Artur-J	Artur-J-Gvecg-P500061	2021-08	STA	https://youtu.be/Pv2274qkypE	Gornja Radgona	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3125, Artur-J-G3124	17	286
Rog-Art-J-Gvecg-P500062	Artur-J	Artur-J-Gvecg-P500062	2021-09	STA	-	Ljubljana	novinarska konferenca	informativno-izobraževalni	osebni stik	Artur-J-G3126, Artur-J-G3131, Artur-J-G3130, Artur-J-G3127, Artur-J-G3128, Artur-J-G3129	46	701
Rog-Art-J-Gvecg-P500063	Artur-J	Artur-J-Gvecg-P500063	2021-09	STA	https://youtu.be/lkpWkX9JMOU	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3134, Artur-J-G3132, Artur-J-G3135, Artur-J-G3133	35	468
Rog-Art-J-Gvecg-P500064	Artur-J	Artur-J-Gvecg-P500064	2021-09	STA	https://youtu.be/TCEX9YOUJvw	Ljubljana	okrogla miza	informativno-izobraževalni	osebni stik	Artur-J-G3139, Artur-J-G3140, Artur-J-G3136, Artur-J-G3137, Artur-J-G3138, Artur-J-G3141	91	899
Rog-Art-J-Gvecg-P580001	Artur-J	Artur-J-Gvecg-P580001	2020-09	SDJT	https://nas.cjvt.si/index.php/apps/files/?dir=/ASR/JavniGovor/JavniGovor-01-FERI-IzvorniPosnetki-bkp&fileid=1452584	Ljubljana	spletni dogodek	informativno-izobraževalni	internet	Artur-J-G4502, Artur-J-G4507, Artur-J-G4501, Artur-J-G4500, Artur-J-G4508, Artur-J-G4503, Artur-J-G4509, Artur-J-G4510, Artur-J-G4505, Artur-J-G4506, Artur-J-G4504	71	997
Rog-Art-J-Gvecg-P580002	Artur-J	Artur-J-Gvecg-P580002	2020-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4528	66	271
Rog-Art-J-Gvecg-P580003	Artur-J	Artur-J-Gvecg-P580003	2017-05	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4530	131	548
Rog-Art-J-Gvecg-P580004	Artur-J	Artur-J-Gvecg-P580004	2016-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4532, Artur-J-G4533	174	467
Rog-Art-J-Gvecg-P580005	Artur-J	Artur-J-Gvecg-P580005	2020-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4527	70	607
Rog-Art-J-Gvecg-P580006	Artur-J	Artur-J-Gvecg-P580006	2017-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4535	178	643
Rog-Art-J-Gvecg-P580007	Artur-J	Artur-J-Gvecg-P580007	2020-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4536	60	323
Rog-Art-J-Gvecg-P580008	Artur-J	Artur-J-Gvecg-P580008	2020-06	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4537	100	343
Rog-Art-J-Gvecg-P580009	Artur-J	Artur-J-Gvecg-P580009	2020-09	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4539, Artur-J-G4538	63	289
Rog-Art-J-Gvecg-P580010	Artur-J	Artur-J-Gvecg-P580010	2020-10	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4539, Artur-J-G4540	115	377
Rog-Art-J-Gvecg-P580011	Artur-J	Artur-J-Gvecg-P580011	2020-10	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4541	50	413
Rog-Art-J-Gvecg-P580012	Artur-J	Artur-J-Gvecg-P580012	2021-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4542, Artur-J-G4531	213	697
Rog-Art-J-Gvecg-P580013	Artur-J	Artur-J-Gvecg-P580013	2020-12	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4543	90	381
Rog-Art-J-Gvecg-P580014	Artur-J	Artur-J-Gvecg-P580014	2019-12	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4545	54	406
Rog-Art-J-Gvecg-P580015	Artur-J	Artur-J-Gvecg-P580015	2020-02	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4529, Artur-J-G4546	62	375
Rog-Art-J-Gvecg-P580016	Artur-J	Artur-J-Gvecg-P580016	2020-01	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4547	40	472
Rog-Art-J-Gvecg-P580017	Artur-J	Artur-J-Gvecg-P580017	2016-08	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4544, Artur-J-G4548	43	730
Rog-Art-J-Gvecg-P580019	Artur-J	Artur-J-Gvecg-P580019	2020-03	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4550	67	504
Rog-Art-J-Gvecg-P580020	Artur-J	Artur-J-Gvecg-P580020	2020-07	Radio Štajerski val	-	Šentjur	intervju	informativno-izobraževalni	radio	Artur-J-G4531, Artur-J-G4551	76	270
