TEXT-ID	SUBCORPUS	TITLE	DATE	SOURCE	URL	TEXT-REGION	DOMAIN	TYPE	CHANNEL	SENTENCES	WORDS	SPK-IDsUTTS
Gos034	Gos	Pogovor o predstavitvi dela teatra v letu 2009.	2009-06	-	-	Novo mesto	Krka, intervju	informativno-izobraževalni	radio	3	48	Af-mode-05513 Bm-gost-05514
Gos035	Gos	Pogovor z organizatorjem glasbenega festivala.	2009-07	-	-	Novo mesto	Krka, intervju	informativno-izobraževalni	radio	4	72	Bm-inte-04528 Af-mode-04527
Gos036	Gos	Pogovor z znanim slovenskim igralcem.	2009-09	-	-	Kranj	Kranj, intervju	informativno-izobraževalni	radio	5	78	Am-novi-00522 Bm-gost-00521
Gos037	Gos	Pogovor z znano slovensko pesnico in pisateljico.	2009-09	-	-	Kranj	Kranj, intervju	informativno-izobraževalni	radio	6	87	Bf-novi-00524
Gos038	Gos	Pogovor o reševanju mejnega spora s Hrvaško.	2009-07	-	-	Ljubljana	Ognjišče, Pogovor o	informativno-izobraževalni	radio	10	242	Am-novi-02052 Cm-gost-02054
Gos039	Gos	Pogovor z gostom, jezikoslovcem etimologom.	2009-07	-	-	Ljubljana	Ognjišče, Naš gost	informativno-izobraževalni	radio	11	184	Af-novi-02046 Bm-gost-02047
Gos040	Gos	Pogovor z znano slovensko ustvarjalko, pesnico in pisateljico.	2009-07	-	-	Ljubljana	Slovenija1, Intervju	informativno-izobraževalni	radio	7	133	Af-novi-02064 Bf-gost-02065
Gos041	Gos	Pogovor s slovenskim odvetnikom.	2010-09	-	-	Ljubljana	Slovenija1, Intervju	informativno-izobraževalni	radio	8	143	Bf-novi-07195 Cm-gost-07196
Gos042	Gos	Pogovor o prenehanju financiranja družbeno koristnega dela kot nadomestila za zaporno kazen.	2009-07	-	-	Ljubljana	Val202, Aktualna	informativno-izobraževalni	radio	5	127	Cf-gost-02095 Am-novi-02093
Gos043	Gos	Pogovor o posledicah in ukrepih ob finančni krizi.	2009-07	-	-	Ljubljana	Val202, Vroči mikrofon	informativno-izobraževalni	radio	8	165	Bm-gost-02088 Af-novi-02087
Gos044	Gos	Intervju z voditeljico centra za otroke in mladostnike.	2009-10	-	-	Slovenj Gradec	Koroški, intervju	informativno-izobraževalni	radio	1	59	Bf-gost-07002
Gos045	Gos	Pogovor o stanju mariborskih cest.	2009-11	-	-	Maribor	Maribor1, Tribuna	informativno-izobraževalni	radio	10	217	Af-mode-02141 Cm-gost-02143
Gos046	Gos	Intervju z znanim francistom.	2009-11	-	-	Šmarje pri Jelšah	Štajerski, intervju	informativno-izobraževalni	radio	8	161	Bm-gost-07012 Af-mode-07011
Gos047	Gos	Intervju z nagrajenko zlatega grba Občine Kozje.	2009-10	-	-	Šmarje pri Jelšah	Štajerski, intervju	informativno-izobraževalni	radio	7	155	Af-novi-04534 Bf-inte-04535
Gos048	Gos	Intervju s kostumografinjo in zbirateljico spodnjega perila.	2009-12	-	-	Šmarje pri Jelšah	Štajerski, intervju	informativno-izobraževalni	radio	11	98	Bf-novi-04534 Cf-gost-07017
Gos049	Gos	Intervju z eno najvidnejših osebnosti na področju kulturnega dogajanja v Slovenski Bistrici.	2009-11	-	-	Šmarje pri Jelšah	Štajerski, intervju	informativno-izobraževalni	radio	2	128	Cm-gost-07010
Gos050	Gos	Intervju s podjetnikom iz Štajerske.	2009-11	-	-	Šmarje pri Jelšah	Štajerski, intervju	informativno-izobraževalni	radio	10	180	Cm-gost-07015
